CustomerID,Name,Age,Salary,Email,Purchase_Amount
1,Customer_1,56.0,78053.0,user1@email.com,104
2,Customer_2,69.0,41959.0,user2@email.com,4969
3,Customer_3,46.0,25530.0,user3@email.com,976
4,Customer_4,32.0,23748.0,user4@email.com,1091
5,Customer_5,60.0,33545.0,user5@email.com,4242
6,Customer_6,25.0,86199.0,user6@email.com,4464
7,Customer_7,38.0,54766.0,user7@email.com,4565
8,Customer_8,56.0,93530.0,user8@email.com,735
9,Customer_9,36.0,81087.0,user9@email.com,1793
10,Customer_10,40.0,88840.0,user10@email.com,1782
11,Customer_11,,74384.0,user11@email.com,4852
12,Customer_12,,71005.0,user12@email.com,219
13,Customer_13,,66576.0,user13@email.com,930
14,Customer_14,,59353.0,user14@email.com,3775
15,Customer_15,,82003.0,user15@email.com,1469
16,Customer_16,,72733.0,user16@email.com,840
17,Customer_17,,85318.0,user17@email.com,216
18,Customer_18,,43664.0,user18@email.com,2938
19,Customer_19,,87172.0,user19@email.com,1250
20,Customer_20,,46736.0,user20@email.com,2031
21,Customer_21,,20854.0,user21@email.com,1112
22,Customer_22,47.0,58623.0,user22@email.com,1764
23,Customer_23,55.0,27392.0,user23@email.com,1181
24,Customer_24,19.0,75680.0,user24@email.com,4829
25,Customer_25,38.0,66717.0,user25@email.com,612
26,Customer_26,50.0,70859.0,user26@email.com,2949
27,Customer_27,29.0,46309.0,user27@email.com,659
28,Customer_28,39.0,83734.0,user28@email.com,3772
29,Customer_29,61.0,90467.0,user29@email.com,4683
30,Customer_30,42.0,72662.0,user30@email.com,3443
31,Customer_31,66.0,,user31@email.com,4170
32,Customer_32,44.0,,user32@email.com,4899
33,Customer_33,59.0,,user33@email.com,1570
34,Customer_34,45.0,,user34@email.com,680
35,Customer_35,33.0,,user35@email.com,2394
36,Customer_36,32.0,,user36@email.com,3247
37,Customer_37,64.0,,user37@email.com,4349
38,Customer_38,68.0,,user38@email.com,1779
39,Customer_39,61.0,,user39@email.com,3606
40,Customer_40,69.0,,user40@email.com,2844
41,Customer_41,20.0,,user41@email.com,3456
42,Customer_42,54.0,35708.0,user42@email.com,4145
43,Customer_43,68.0,69811.0,user43@email.com,1343
44,Customer_44,24.0,22811.0,user44@email.com,3218
45,Customer_45,38.0,76250.0,user45@email.com,2241
46,Customer_46,26.0,92082.0,user46@email.com,3159
47,Customer_47,56.0,54754.0,user47@email.com,4648
48,Customer_48,35.0,31411.0,user48@email.com,3059
49,Customer_49,21.0,22911.0,user49@email.com,2365
50,Customer_50,42.0,87270.0,user50@email.com,2579
51,Customer_51,31.0,28680.0,user51@email.com,4746
52,Customer_52,67.0,91295.0,user52@email.com,1735
53,Customer_53,26.0,31111.0,user53@email.com,1857
54,Customer_54,43.0,57504.0,user54@email.com,4552
55,Customer_55,19.0,21802.0,user55@email.com,2170
56,Customer_56,37.0,28155.0,user56@email.com,2949
57,Customer_57,45.0,93656.0,user57@email.com,3351
58,Customer_58,64.0,59384.0,user58@email.com,3830
59,Customer_59,24.0,67254.0,user59@email.com,2589
60,Customer_60,61.0,41918.0,user60@email.com,1731
61,Customer_61,25.0,80713.0,user61@email.com,2916
62,Customer_62,64.0,50306.0,user62@email.com,1115
63,Customer_63,52.0,36646.0,user63@email.com,1448
64,Customer_64,31.0,66843.0,user64@email.com,4711
65,Customer_65,34.0,36371.0,user65@email.com,3187
66,Customer_66,53.0,97371.0,user66@email.com,2939
67,Customer_67,67.0,22049.0,user67@email.com,435
68,Customer_68,57.0,51616.0,user68@email.com,4692
69,Customer_69,21.0,40932.0,user69@email.com,995
70,Customer_70,19.0,49855.0,user70@email.com,3646
71,Customer_71,23.0,81434.0,user71@email.com,951
72,Customer_72,59.0,92694.0,user72@email.com,1787
73,Customer_73,21.0,63016.0,user73@email.com,2031
74,Customer_74,46.0,27400.0,user74@email.com,3846
75,Customer_75,35.0,62642.0,user75@email.com,2527
76,Customer_76,43.0,35151.0,user76@email.com,1668
77,Customer_77,61.0,71407.0,user77@email.com,4100
78,Customer_78,51.0,86690.0,user78@email.com,2838
79,Customer_79,27.0,24499.0,user79@email.com,3598
80,Customer_80,53.0,26295.0,user80@email.com,4013
81,Customer_81,31.0,79040.0,user81@email.com,1166
82,Customer_82,48.0,32183.0,user82@email.com,4480
83,Customer_83,65.0,49299.0,user83@email.com,2544
84,Customer_84,32.0,32874.0,user84@email.com,4207
85,Customer_85,25.0,52711.0,user85@email.com,3473
86,Customer_86,31.0,25539.0,user86@email.com,4069
87,Customer_87,40.0,73351.0,user87@email.com,2646
88,Customer_88,57.0,81267.0,user88@email.com,853
89,Customer_89,38.0,68354.0,user89@email.com,2182
90,Customer_90,33.0,22557.0,user90@email.com,2874
91,Customer_91,62.0,58360.0,user91@email.com,2996
92,Customer_92,35.0,22200.0,user92@email.com,4285
93,Customer_93,64.0,88497.0,user93@email.com,875
94,Customer_94,41.0,66975.0,user94@email.com,1725
95,Customer_95,43.0,41357.0,user95@email.com,3169
96,Customer_96,42.0,97505.0,user96@email.com,517
97,Customer_97,62.0,22869.0,user97@email.com,214
98,Customer_98,58.0,81135.0,user98@email.com,716
99,Customer_99,46.0,70108.0,user99@email.com,4074
100,Customer_100,32.0,58467.0,user100@email.com,3367
101,Customer_101,62.0,43328.0,user101@email.com,925
102,Customer_102,18.0,23987.0,user102@email.com,1616
103,Customer_103,42.0,78871.0,user103@email.com,3246
104,Customer_104,24.0,42399.0,user104@email.com,512
105,Customer_105,26.0,66214.0,user105@email.com,828
106,Customer_106,41.0,90271.0,user106@email.com,3448
107,Customer_107,18.0,64064.0,user107@email.com,2908
108,Customer_108,61.0,90091.0,user108@email.com,775
109,Customer_109,25.0,60818.0,user109@email.com,3565
110,Customer_110,41.0,65525.0,user110@email.com,2604
111,Customer_111,28.0,39830.0,user111@email.com,3067
112,Customer_112,68.0,37429.0,user112@email.com,2886
113,Customer_113,34.0,26893.0,user113@email.com,1222
114,Customer_114,25.0,99909.0,user114@email.com,4179
115,Customer_115,52.0,67333.0,user115@email.com,1671
116,Customer_116,52.0,23436.0,user116@email.com,2243
117,Customer_117,50.0,94290.0,user117@email.com,1787
118,Customer_118,22.0,96213.0,user118@email.com,4232
119,Customer_119,59.0,25895.0,user119@email.com,3951
120,Customer_120,56.0,39738.0,user120@email.com,3540
121,Customer_121,58.0,50746.0,user121@email.com,3866
122,Customer_122,45.0,69377.0,user122@email.com,2426
123,Customer_123,24.0,68404.0,user123@email.com,3014
124,Customer_124,26.0,74045.0,user124@email.com,4052
125,Customer_125,25.0,59790.0,user125@email.com,695
126,Customer_126,29.0,25600.0,user126@email.com,828
127,Customer_127,51.0,60764.0,user127@email.com,1465
128,Customer_128,50.0,94543.0,user128@email.com,4592
129,Customer_129,65.0,65714.0,user129@email.com,798
130,Customer_130,40.0,76835.0,user130@email.com,495
131,Customer_131,41.0,93744.0,user131@email.com,4271
132,Customer_132,54.0,76491.0,user132@email.com,4460
133,Customer_133,52.0,38589.0,user133@email.com,2602
134,Customer_134,61.0,63484.0,user134@email.com,1919
135,Customer_135,57.0,56212.0,user135@email.com,817
136,Customer_136,39.0,63525.0,user136@email.com,2882
137,Customer_137,44.0,67202.0,user137@email.com,3677
138,Customer_138,52.0,52635.0,user138@email.com,243
139,Customer_139,18.0,83208.0,user139@email.com,3240
140,Customer_140,52.0,53828.0,user140@email.com,4591
141,Customer_141,54.0,38711.0,user141@email.com,3038
142,Customer_142,64.0,23420.0,user142@email.com,3736
143,Customer_143,31.0,20301.0,user143@email.com,3322
144,Customer_144,20.0,65236.0,user144@email.com,1267
145,Customer_145,18.0,86235.0,user145@email.com,2716
146,Customer_146,22.0,74240.0,user146@email.com,1162
147,Customer_147,43.0,85726.0,user147@email.com,2256
148,Customer_148,31.0,30492.0,user148@email.com,3082
149,Customer_149,56.0,26102.0,user149@email.com,3394
150,Customer_150,44.0,70336.0,user150@email.com,4829
151,Customer_151,26.0,46641.0,user151@email.com,1256
152,Customer_152,32.0,54584.0,user152@email.com,832
153,Customer_153,32.0,52745.0,user153@email.com,4430
154,Customer_154,43.0,43093.0,user154@email.com,4946
155,Customer_155,59.0,86105.0,user155@email.com,1053
156,Customer_156,30.0,71885.0,user156@email.com,2639
157,Customer_157,68.0,56631.0,user157@email.com,3424
158,Customer_158,49.0,92991.0,user158@email.com,3401
159,Customer_159,56.0,24014.0,user159@email.com,1642
160,Customer_160,66.0,31093.0,user160@email.com,1291
161,Customer_161,69.0,38070.0,user161@email.com,3093
162,Customer_162,49.0,55777.0,user162@email.com,2781
163,Customer_163,21.0,76958.0,user163@email.com,1317
164,Customer_164,47.0,30729.0,user164@email.com,1640
165,Customer_165,54.0,65017.0,user165@email.com,3336
166,Customer_166,40.0,86320.0,user166@email.com,2486
167,Customer_167,56.0,47751.0,user167@email.com,3819
168,Customer_168,62.0,98069.0,user168@email.com,1488
169,Customer_169,32.0,74748.0,user169@email.com,1956
170,Customer_170,60.0,25801.0,user170@email.com,1465
171,Customer_171,46.0,39190.0,user171@email.com,599
172,Customer_172,53.0,69689.0,user172@email.com,1780
173,Customer_173,30.0,70993.0,user173@email.com,610
174,Customer_174,49.0,49592.0,user174@email.com,4412
175,Customer_175,24.0,30647.0,user175@email.com,1424
